time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	4.14791e-06	3466.61	13.2919	1997.7700000000002
1	4.14791e-06	9.43805e-06	3466.61	13.2919	1997.7700000000002
2	9.43805e-06	1.61849e-05	3466.61	125.509	1997.7700000000002
3	1.61849e-05	2.47898e-05	5672.429000000001	747.186	5447.468
4	2.47898e-05	3.57641e-05	5140.94	1946.71	6060.870000000001
5	3.57641e-05	4.97605e-05	4169.708	2654.7	4395.014
6	4.97605e-05	6.76111e-05	3209.479999999999	2312.49	2799.667
7	6.76111e-05	9.03773e-05	2306.596	1538.21	1700.2
8	9.03773e-05	0.000119413	1492.296	919.706	970.3690000000001
9	0.000119413	0.000156444	900.3229999999999	558.905	578.48
10	0.000156444	0.000203672	590.1405000000001	370.914	369.58330000000007
11	0.000203672	0.000263906	406.577	275.921	274.2849
12	0.000263906	0.000340726	318.95039999999995	228.837	224.9984
13	0.000340726	0.000438701	268.7916	207.869	204.99250000000004
14	0.000438701	0.000563655	246.1636	202.383	201.2926
15	0.000563655	0.000723018	240.03200000000004	206.697	207.21599999999998
16	0.000723018	0.000926266	245.73370000000006	217.613	219.48440000000005
17	0.000926266	0.00118548	260.47509999999994	233.319	236.62830000000002
18	0.00118548	0.00151608	279.65299999999996	252.674	257.877
19	0.00151608	0.00193772	303.509	274.842	282.6702
20	0.00193772	0.00247546	331.3484000000001	299.043	313.188
21	0.00247546	0.00316128	362.20770000000005	324.146	346.02
22	0.00316128	0.00403596	394.18819999999994	348.212	375.8163999999999
23	0.00403596	0.00515151	425.8669	368.411	402.04150000000004
24	0.00515151	0.00657424	448.32280000000003	381.948	420.91419999999994
25	0.00657424	0.00838876	454.0022	387.478	429.2434999999999
26	0.00838876	0.0107029	424.22599999999994	384.985	423.4715
27	0.0107029	0.0136544	398.4719999999999	363.881	381.4260000000001
28	0.0136544	0.0174186	128.61457999999996	363.881	339.8272000000001
29	0.0174186	0.0222194	12.961399999999996	237.929	173.432
30	0.0222194	0.0283421	12.961399999999996	237.929	173.432
31	0.0283421	inf	12.9614	237.929	173.432
