left_time_boundary	im_N1	im_N2	m	M
0.0	11322.65783657022	22865.815752723534	3.2156440692361538e-27	0.0
410.57000000000005	11322.65783657022	22865.815752723534	3.2156440692361538e-27	0.0
934.1990000000001	10918.4084883715	22998.04105387123	2.816160768047267e-05	0.03691521261281705
1602.02	7871.701840322044	9064.830642522058	5.8788879543656366e-05	0.12869076504941956
2453.75	9418.531790709401	7969.293751267176	0.0001247133423178891	0.3354868164394874
3540.0099999999998	11372.858739712652	10418.932274416844	0.00016737823739319235	0.5820814967676204
4925.4	13912.717768592163	16913.577864178053	0.0001383922428593564	0.7437288823609072
6692.299999999999	18768.7013401028	29017.236904827187	1.2607098536262703e-05	0.7578839256821517
8945.74	28041.55508045783	52870.809166971565	5.1949476229518653e-20	0.7578839256821517
11819.699999999999	46377.326645481866	84678.14698256669	5.878304420000689e-29	0.7578839256821517
15485.1	70766.50199961539	125494.12368851792	1.010154137137484e-33	0.7578839256821517
20159.9	102978.532751673	158456.9559396039	4.007847782386549e-37	0.7578839256821517
26122.0	139845.76460303043	196498.4700127603	1.005600715879926e-05	0.7922179855643149
33725.8	177524.7953068644	220210.68105941077	1.2063564673704413e-05	0.835565971427938
43423.6	200569.60514741036	227909.81097935422	9.030587304503798e-06	0.8684844326037819
55791.8	205877.89010770718	223094.7167575721	6.292897448611259e-06	0.8921658517981799
71566.0	201231.03462955967	211448.51263626546	5.700870979753419e-06	0.9142689322496321
91683.9	190330.71286678757	196508.75989229316	5.688192589220632e-06	0.9359721049299011
117342.00000000001	176996.67278256273	180437.13717742858	5.804879479697228e-06	0.9562096835885712
150065.0	162059.7242457831	163995.25363992405	5.784032480567314e-06	0.9729785476137545
191799.0	145381.43441505524	146194.8369708333	5.574147298134114e-06	0.9850719677140812
245026.0	129578.84295467692	129915.01971382299	5.275138328976253e-06	0.9927061226580313
312911.0	114006.77309091209	114054.02400481603	4.957112012052662e-06	0.9969083915093173
399488.0	100546.11610501233	100456.9984484689	4.4736862878244595e-06	0.9988488843872382
509907.0	85083.04288039899	85330.03700533738	3.6940143856509356e-06	0.9995933063052207
650733.0	89453.79633208166	89680.31468043037	3.4408284830597724e-06	0.9998818351941224
830338.0000000001	138991.7245268903	141540.9995376183	2.9668407903880005e-06	0.9999696468791839
1059400.0	147637.07106694087	148172.9504551243	2.923445509077032e-07	0.9999744129013477
1351540.0	147637.44081107172	148173.3215413182	2.923445509077032e-07	0.9999794216623294
1724130.0	185509.90775683697	185904.2751393013	3.2156440692361538e-27	0.9999794216623294
2199320.0	185509.90775683697	185904.2751393013	3.2156440692361538e-27	0.9999794216623294
2805370.0	185509.90775683697	185904.2751393013	3.2156440692361538e-27	0.9999794216623294
