time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.9835e-06	3184.6300000000006	16.9081	1689.3599999999994
1	3.9835e-06	9.06395e-06	3184.6300000000006	16.9081	1689.3599999999994
2	9.06395e-06	1.55434e-05	3184.6300000000006	146.483	1689.3599999999994
3	1.55434e-05	2.38072e-05	6364.700000000002	677.796	5183.494
4	2.38072e-05	3.43465e-05	5496.889000000002	1735.3	5922.871999999999
5	3.43465e-05	4.77881e-05	4401.358	2526.81	4444.599999999999
6	4.77881e-05	6.49312e-05	3362.9449999999997	2387.88	3080.1600000000003
7	6.49312e-05	8.6795e-05	2348.055	1693.61	1872.2600000000002
8	8.6795e-05	0.000114679	1556.9599999999996	1053.98	1106.5099999999998
9	0.000114679	0.000150243	1012.7210000000001	653.102	717.0728000000001
10	0.000150243	0.000195599	651.9159999999998	434.529	445.06300000000005
11	0.000195599	0.000253445	468.4698000000001	320.047	317.84069999999997
12	0.000253445	0.00032722	356.3026999999999	260.262	257.8195999999999
13	0.00032722	0.000421312	296.594	230.897	227.66700000000003
14	0.000421312	0.000541313	267.4043	219.929	217.84929999999997
15	0.000541313	0.00069436	258.0756	220.569	219.69840000000002
16	0.00069436	0.000889551	260.5992	228.771	228.81250000000006
17	0.000889551	0.00113849	271.88700000000006	242.365	243.27200000000005
18	0.00113849	0.00145599	289.32120000000003	260.11	262.17089999999996
19	0.00145599	0.00186091	311.882	281.125	284.92339999999996
20	0.00186091	0.00237734	341.5086	304.657	313.64009999999996
21	0.00237734	0.00303598	372.4795999999999	329.755	345.1946
22	0.00303598	0.00387599	405.47260000000006	354.792	374.96399999999994
23	0.00387599	0.00494731	439.7834000000001	377.102	402.60660000000007
24	0.00494731	0.00631365	465.2057	393.487	426.2537999999999
25	0.00631365	0.00805625	473.99600000000004	401.66	438.2390000000001
26	0.00805625	0.0102787	449.762	401.025	438.1453999999999
27	0.0102787	0.0131132	426.653	382.893	414.68059999999997
28	0.0131132	0.0167282	321.853	382.893	400.4362
29	0.0167282	0.0213386	295.653	315.412	353.621
30	0.0213386	0.0272187	295.653	315.412	353.621
31	0.0272187	inf	295.653	315.412	353.621
