time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.75937e-06	1297.1000000000001	7.04806	3694.44
1	5.75937e-06	1.31047e-05	1297.1000000000001	7.04806	3694.44
2	1.31047e-05	2.24728e-05	1297.1000000000001	164.055	4703.369999999999
3	2.24728e-05	3.44205e-05	1297.305	804.33	5244.835
4	3.44205e-05	4.96584e-05	1299.1499999999999	1345.27	4450.738
5	4.96584e-05	6.90923e-05	699.5754999999999	1144.47	3563.8979999999992
6	6.90923e-05	9.38778e-05	318.6595	672.018	2568.6040000000003
7	9.38778e-05	0.000125489	170.7262	353.837	1585.6150000000005
8	0.000125489	0.000165804	108.70182000000001	198.635	966.3675000000002
9	0.000165804	0.000217222	83.05106	129.773	575.7578
10	0.000217222	0.000282798	70.60150000000002	102.028	378.8184
11	0.000282798	0.000366432	68.40394	93.6534	282.73580000000004
12	0.000366432	0.000473097	73.49189999999999	95.75	237.00070000000002
13	0.000473097	0.000609135	84.54343999999999	104.985	218.96030000000002
14	0.000609135	0.000782633	98.19929	119.688	215.17960000000002
15	0.000782633	0.00100391	116.74940000000002	138.658	222.38190000000003
16	0.00100391	0.00128612	138.12499999999997	160.83	236.76700000000005
17	0.00128612	0.00164604	161.5022	185.489	257.37050000000005
18	0.00164604	0.00210507	186.1682	212.062	286.4386
19	0.00210507	0.00269051	211.42260000000005	239.646	318.9352
20	0.00269051	0.00343717	236.30709999999996	266.579	356.1601000000001
21	0.00343717	0.00438943	262.611	290.214	398.7729
22	0.00438943	0.00560392	279.5116	307.162	435.40289999999993
23	0.00560392	0.00715285	289.26779999999997	315.054	456.1428000000001
24	0.00715285	0.00912831	291.6425	314.661	458.197
25	0.00912831	0.0116478	288.49240000000003	308.912	413.4722000000001
26	0.0116478	0.014861	281.9136	300.343	396.0230000000001
27	0.014861	0.0189591	275.3531	286.126	211.94779999999997
28	0.0189591	0.0241857	268.7540000000001	286.126	191.49499999999998
29	0.0241857	0.0308515	270.28460000000007	262.723	191.49499999999998
30	0.0308515	0.039353	273.85600000000005	262.723	191.49499999999998
31	0.039353	inf	273.856	262.723	191.495
