time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.9862e-06	1477.6700000000003	0.376023	3868.809999999999
1	5.9862e-06	1.36208e-05	1477.6700000000003	0.376023	3868.809999999999
2	1.36208e-05	2.33579e-05	1477.6700000000003	171.969	4401.37
3	2.33579e-05	3.57762e-05	1417.8400000000004	937.656	4648.205
4	3.57762e-05	5.16142e-05	1178.52	1388.03	4316.74
5	5.16142e-05	7.18135e-05	619.8654000000001	1022.39	3577.262
6	7.18135e-05	9.75753e-05	264.42600000000004	539.682	2436.205
7	9.75753e-05	0.000130431	127.31649	263.369	1509.87
8	0.000130431	0.000172334	74.02179999999998	143.908	843.6984
9	0.000172334	0.000225777	56.927499999999995	97.2117	518.692
10	0.000225777	0.000293936	54.48057999999999	81.2601	340.4536
11	0.000293936	0.000380864	58.92088	79.445	257.18800000000005
12	0.000380864	0.00049173	67.64806	85.8868	219.67629999999997
13	0.00049173	0.000633126	81.03864000000002	98.3758	205.68300000000002
14	0.000633126	0.000813458	98.05822000000002	115.622	206.73959999999997
15	0.000813458	0.00104345	118.26100000000002	136.616	217.42200000000003
16	0.00104345	0.00133677	138.69899999999998	160.453	233.93250000000006
17	0.00133677	0.00171087	162.70820000000003	186.406	256.3284
18	0.00171087	0.00218798	187.5925	213.764	284.36249999999995
19	0.00218798	0.00279648	212.5916	241.444	317.7661999999999
20	0.00279648	0.00357254	238.60630000000006	267.611	359.126
21	0.00357254	0.00456231	261.2672	289.5	401.36420000000004
22	0.00456231	0.00582464	276.34610000000004	303.978	434.5823
23	0.00582464	0.00743457	284.2866	309.382	457.9509999999999
24	0.00743457	0.00948784	284.90940000000006	307.009	463.6499999999999
25	0.00948784	0.0121065	280.21209999999996	299.966	432.3185000000001
26	0.0121065	0.0154463	272.95079999999996	290.827	419.0930000000001
27	0.0154463	0.0197058	265.10569999999996	277.17	103.95044000000001
28	0.0197058	0.0251382	256.66400000000004	277.17	68.93459999999999
29	0.0251382	0.0320666	254.4332	248.48	68.93459999999999
30	0.0320666	0.0409029	249.22799999999998	248.48	68.93459999999999
31	0.0409029	inf	249.228	248.48	68.9346
