left_time_boundary	im_N1	im_N2	m	M
0.0	32307.24941990203	12706.650300609184	1.3661493166033551e-30	0.0
552.926	32307.24941990203	12706.650300609184	1.3661493166033551e-30	0.0
1258.1100000000001	32464.689682642096	9882.283032374396	2.6401856335576153e-05	0.046380565845095645
2157.49	34082.776580281556	8663.469032893601	8.18057799921717e-05	0.2095553208383123
3304.5299999999997	39112.1307071503	10451.63449149921	0.00011208999975998516	0.43056735298554216
4767.44	103284.16644564718	12482.56576505537	4.343984372982704e-05	0.5157773933189521
6633.19	214684.68282673825	18053.729127805524	6.106128575405139e-34	0.5157773933189521
9012.72	404964.1378033636	28052.947166783346	2.5973562741215343e-36	0.5157773933189521
12047.5	516982.0785209662	47463.13032860092	6.68655849356124e-30	0.5157773933189521
15918.0	577319.6437467826	76421.41756671101	4.429378139453458e-06	0.5364958894253355
20854.3	525243.69093968	115950.0593755946	1.1665529912418641e-34	0.5364958894253355
27149.9	477178.91799684206	155296.53989700915	6.787987995215024e-29	0.5364958894253355
35179.200000000004	426889.6241847798	182401.2701726342	4.861132762012526e-43	0.5364958894253355
45419.6	412321.0808347617	227271.10849778546	1.870668022736213e-05	0.7156547174534088
58479.799999999996	364287.5095310478	234463.85852069355	6.872678554444697e-06	0.7738412935933755
75136.5	316921.72116529883	229402.38827715119	5.698553591207967e-06	0.8224730289190234
96380.0	273224.6191099048	219165.76575714178	5.258515068446365e-06	0.8664888961049277
123473.0	237717.7674840119	212074.19460581226	6.712426574442689e-06	0.9160443360766799
158028.0	209458.26817914256	199864.48136037038	7.060810798766756e-06	0.9549414341522691
202097.0	185018.1017351597	181949.33795701736	6.634381398100744e-06	0.978625635274783
258302.0	162524.51075760077	161573.76575422307	6.116070107726035e-06	0.9911061877079284
329985.0	141660.26177004777	141089.66495550965	5.308424577712752e-06	0.9966305389012697
421406.0	121988.92217090668	121645.7155081166	4.4746556844228154e-06	0.998813165163214
538003.0	101912.30741096717	101992.81782944259	3.6348718453070185e-06	0.9995973780605963
686708.0	95919.17291440871	96284.23418631921	3.3456596775643913e-06	0.9998868219180084
876362.0	128348.89252431426	128325.05929594887	2.6384860154146264e-06	0.9999684182606728
1118240.0	159359.06151110213	161560.4430110977	1.393874046608909e-06	0.9999866357039788
1426730.0	178539.6597354425	179091.91940010598	2.1188152091480085e-07	0.9999886879833466
1820159.9999999998	178539.8531673919	179092.11343037998	2.1188152091480085e-07	0.9999908547944147
2321940.0	198290.65500671265	198632.1781085287	1.3661493166033551e-30	0.9999908547944147
2961890.0	198290.65500671265	198632.1781085287	1.3661493166033551e-30	0.9999908547944147
3778070.0	198290.65500671265	198632.1781085287	1.3661493166033551e-30	0.9999908547944147
