time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.15193e-06	2132950.0	224.836	591.9589999999998
1	7.15193e-06	1.62733e-05	2132950.0	224.836	591.9589999999998
2	1.62733e-05	2.79065e-05	2132950.0	68.607	591.9589999999998
3	2.79065e-05	4.27431e-05	214943.42199999996	109.944	395.2253999999999
4	4.27431e-05	6.16653e-05	2559.1639999999998	104.576	100.12500000000001
5	6.16653e-05	8.57982e-05	2312.6849999999995	86.9644	110.75000000000001
6	8.57982e-05	0.000116577	1212.8644	70.2636	105.08700000000002
7	0.000116577	0.000155831	547.7271999999999	61.5791	96.52553999999999
8	0.000155831	0.000205894	244.13499999999996	61.4298	90.41550000000002
9	0.000205894	0.000269744	134.32048999999998	67.1549	90.04920000000001
10	0.000269744	0.000351176	92.79613999999998	77.356	95.84370000000001
11	0.000351176	0.000455032	82.5844	90.7424	105.54605
12	0.000455032	0.000587488	84.64009999999999	106.473	118.96380000000002
13	0.000587488	0.000756418	93.65668000000002	123.981	132.877
14	0.000756418	0.000971868	107.78208000000001	142.56	149.16660000000002
15	0.000971868	0.00124665	125.77639999999998	161.377	165.6586
16	0.00124665	0.00159709	147.0994	179.853	181.93460000000005
17	0.00159709	0.00204404	174.1763	197.793	197.81400000000002
18	0.00204404	0.00261406	202.4976	215.126	214.5022
19	0.00261406	0.00334106	236.4392	231.375	228.74159999999995
20	0.00334106	0.00426825	268.32849999999996	245.433	241.29619999999997
21	0.00426825	0.00545076	297.4872	255.688	251.07699999999997
22	0.00545076	0.0069589	319.2766	260.653	256.83720000000005
23	0.0069589	0.00888235	329.64719999999994	260.12	257.9096
24	0.00888235	0.0113355	326.56389999999993	255.679	254.83000000000004
25	0.0113355	0.0144641	313.043	249.761	249.24300000000002
26	0.0144641	0.0184543	292.4711	244.145	243.47789999999998
27	0.0184543	0.0235432	273.5059999999999	238.514	239.15720000000005
28	0.0235432	0.0300336	253.8038	238.514	237.23000000000002
29	0.0300336	0.0383111	240.669	240.404	241.98319999999995
30	0.0383111	0.0488682	240.669	240.404	245.15199999999996
31	0.0488682	inf	240.669	240.404	245.152
