time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.72861e-06	3664.7400000000007	26.2324	88.49720000000003
1	7.72861e-06	1.75855e-05	3664.7400000000007	26.2324	88.49720000000003
2	1.75855e-05	3.01567e-05	3664.7400000000007	85.6067	88.49720000000003
3	3.01567e-05	4.61896e-05	1645.3559999999998	102.577	100.94312000000004
4	4.61896e-05	6.66376e-05	827.7849999999999	89.2127	119.61200000000002
5	6.66376e-05	9.27164e-05	441.4574	70.8117	95.7051
6	9.27164e-05	0.000125977	250.27680000000004	57.9455	84.50979
7	0.000125977	0.000168396	164.7322	54.2895	76.07418
8	0.000168396	0.000222496	130.8218	57.5212	74.94335
9	0.000222496	0.000291494	119.34079999999999	65.4597	80.02999999999999
10	0.000291494	0.000379493	119.1462	76.9631	89.01235000000001
11	0.000379493	0.000491723	126.25389999999999	91.0358	100.33365000000002
12	0.000491723	0.000634859	137.5852	106.844	113.23750000000003
13	0.000634859	0.000817411	151.2765	123.705	128.5744
14	0.000817411	0.00105023	164.81349999999998	141.014	144.4872
15	0.00105023	0.00134717	180.39000000000001	158.314	160.49599999999995
16	0.00134717	0.00172587	196.48590000000007	175.297	174.80819999999997
17	0.00172587	0.00220886	213.03500000000005	191.745	190.05109999999996
18	0.00220886	0.00282484	231.41630000000004	207.293	206.84579999999997
19	0.00282484	0.00361046	249.38140000000004	221.177	219.48239999999998
20	0.00361046	0.00461241	264.0947	232.251	229.86939999999996
21	0.00461241	0.00589027	275.5328	239.278	237.08450000000005
22	0.00589027	0.00752002	282.8018	241.59	240.45839999999995
23	0.00752002	0.00959856	284.4284	239.832	240.00640000000004
24	0.00959856	0.0122495	282.31819999999993	235.779	236.91030000000003
25	0.0122495	0.0156304	278.177	231.271	232.39829999999995
26	0.0156304	0.0199423	272.108	227.309	228.36300000000003
27	0.0199423	0.0254416	266.984	223.194	223.8594
28	0.0254416	0.0324553	262.49039999999997	223.194	221.19
29	0.0324553	0.0414003	255.74999999999994	221.414	218.70480000000003
30	0.0414003	0.0528086	255.74999999999994	221.414	217.04800000000003
31	0.0528086	inf	255.75	221.414	217.048
