left_time_boundary	im_N1	im_N2	m	M
0.0	24.283868119402978	45541.582644850954	1.0270105422598705e-31	0.0
746.17	24.283868119402978	45541.582644850954	1.0270105422598705e-31	0.0
1697.81	1.0000001303453436	1.0000120644373636	4.341857821821628e-11	1.0539511963170156e-07
2911.52	1.0406484149894786	1.0406521862065417	4.994054887532611e-07	0.0015449901554163148
4459.44	13538756.929953307	12545193.390715012	0.0010136835489377928	0.9817562689516999
6433.62	1245165.7228428368	789892.0759928696	3.909284694677666e-17	0.9817562689517034
8951.44	14569835.419551224	13612720.583711678	1.7646201647517946e-21	0.9817562689517034
12162.6	16488340.306402177	15541959.26621802	3.166067016961357e-19	0.9817562689517035
16258.0	16980588.17550121	16041549.99709839	3.166067016961357e-19	0.9817562689517035
21481.199999999997	16966507.663819604	16021531.666202705	3.166067016961357e-19	0.9817562689517036
28142.7	16953555.420626946	15997993.547059735	4.0098440897141744e-06	0.9829578949765602
36638.6	16934732.756942004	15969861.480277026	8.084172263200485e-07	0.9832538590899046
47474.1	16922544.576996017	15950529.513481865	1.6464287493510115e-06	0.9839988138691932
61293.399999999994	16913577.056292806	15937778.21616408	3.166067016961357e-19	0.9839988138691934
78918.1	16914996.081789467	15937940.77363216	9.538578034862258e-22	0.9839988138691934
101395.99999999999	16537534.793992959	15557790.638804357	1.540920465980002e-21	0.9839988138691934
130064.0	13653443.292633882	12675788.175166572	1.757871672756821e-21	0.9839988138691934
166626.0	10437164.69923802	9464809.56295264	7.731205575504297e-34	0.9839988138691934
213256.99999999997	6701464.390195376	5724555.2854700405	2.73633820715319e-21	0.9839988138691934
272728.0	5236266.717078852	4271485.073380833	2.8243507029812175e-21	0.9839988138691934
348577.0	5169794.69723483	4210588.570313045	4.891177059618793e-06	0.9937887210368201
445311.99999999994	5296102.405095042	4379959.65307798	6.4669460903841976e-24	0.9937887210368201
568685.0	9143924.76757995	8244905.078860887	2.1358890175516331e-35	0.9937887210368201
726031.0	11.821944124088507	11.821294658301898	7.91912446246798e-06	0.9997412750147188
926707.0	2.0337623644247036	2.0337641660675465	2.242183187647653e-06	0.9999178893009605
1182640.0	2258875.7382264547	2249642.8339472404	1.0644391486183078e-06	0.9999590168965269
1509060.0	1655244.9117075028	1647778.1570153038	5.11903563260503e-21	0.9999590168965269
1925359.9999999998	1523499.7889726518	1516319.425394825	1.2220285705723115e-19	0.9999590168965269
2456300.0	1523499.7889726518	1516319.425394825	1.2220285705723115e-19	0.9999590168965269
3133440.0	2825152.148520024	2825520.953518199	1.7542468493283143e-21	0.9999590168965269
3997050.0	2825152.148520024	2825520.953518199	1.7542468493283143e-21	0.9999590168965269
5098480.0	2825152.148520024	2825520.953518199	1.7542468493283143e-21	0.9999590168965269
