time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.15193e-06	2132970.0	226.415	592.3919999999999
1	7.15193e-06	1.62733e-05	2132970.0	226.415	592.3919999999999
2	1.62733e-05	2.79065e-05	2132970.0	68.4779	592.3919999999999
3	2.79065e-05	4.27431e-05	214945.4039999999	109.844	395.4724
4	4.27431e-05	6.16653e-05	2559.1620000000003	104.539	100.09299999999998
5	6.16653e-05	8.57982e-05	2312.7000000000003	86.9505	110.73499999999997
6	8.57982e-05	0.000116577	1212.8748	70.2599	105.08180000000002
7	0.000116577	0.000155831	547.7235000000001	61.581	96.52351999999999
8	0.000155831	0.000205894	244.1326	61.4294	90.41379999999998
9	0.000205894	0.000269744	134.31964000000002	67.1548	90.0483
10	0.000269744	0.000351176	92.79576	77.3559	95.84254999999999
11	0.000351176	0.000455032	82.58475000000001	90.7429	105.54595
12	0.000455032	0.000587488	84.64040000000001	106.472	118.96420000000002
13	0.000587488	0.000756418	93.65697999999999	123.98	132.87760000000003
14	0.000756418	0.000971868	107.78229	142.559	149.1676
15	0.000971868	0.00124665	125.7772	161.376	165.65879999999999
16	0.00124665	0.00159709	147.10039999999998	179.852	181.93550000000002
17	0.00159709	0.00204404	174.1763	197.793	197.8141
18	0.00204404	0.00261406	202.4976	215.126	214.5024
19	0.00261406	0.00334106	236.4392	231.375	228.74229999999994
20	0.00334106	0.00426825	268.32849999999996	245.433	241.29619999999997
21	0.00426825	0.00545076	297.4872	255.688	251.07699999999997
22	0.00545076	0.0069589	319.2766	260.654	256.83720000000005
23	0.0069589	0.00888235	329.64719999999994	260.12	257.9096
24	0.00888235	0.0113355	326.56389999999993	255.679	254.83000000000004
25	0.0113355	0.0144641	313.0428	249.761	249.24300000000002
26	0.0144641	0.0184543	292.4701	244.145	243.47789999999998
27	0.0184543	0.0235432	273.50500000000005	238.514	239.15720000000005
28	0.0235432	0.0300336	253.80520000000007	238.514	237.23000000000002
29	0.0300336	0.0383111	240.67200000000003	240.405	241.98259999999996
30	0.0383111	0.0488682	240.67200000000003	240.405	245.15099999999995
31	0.0488682	inf	240.672	240.405	245.151
