left_time_boundary	im_N1	im_N2	m	M
0.0	17450.3615983887	476026.26583408675	2.305772954232805e-05	0.032081610155359264
707.0840000000001	18116.99155098405	494211.1822461582	2.305772954232805e-05	0.07150867365620561
1608.88	17438.998066033208	478399.6763463222	1.0270105422598705e-31	0.07150867365620561
2759.0099999999998	19078.88049252599	358641.5415123397	1.0270105422598705e-31	0.07150867365620561
4225.84	30118.256932203985	268662.0631756752	2.708680987739966e-05	0.16099668588126492
6096.61	50609.27646673078	328713.93993363855	8.259572288628367e-06	0.19342157506699642
8482.54	85067.4325718553	378230.5471551885	9.355269486773528e-06	0.2380616002123842
11525.5	144215.8824816298	425208.89077548706	1.1939740031283481e-05	0.3055002251041119
15406.4	215649.535951446	453461.9815065686	1.4737329342724204e-05	0.39977531060456895
20356.0	278318.3935361677	457174.51118019974	1.646779752432036e-05	0.512447428452094
26668.5	315669.39738140977	435000.9018994059	1.5145500928774147e-05	0.617958860879245
34719.4	326475.55717403744	395715.1552766421	1.2542807432619374e-05	0.7047118344369587
44987.299999999996	316472.66730471246	356590.9390864216	9.701070811355988e-06	0.7709654406040662
58082.7	295026.4111019296	315844.5903861882	6.191525452227107e-06	0.8137560484412892
74784.2	268394.19107620174	278935.0671948708	3.517337330025927e-06	0.8396731424989069
96084.8	241092.82413062893	250704.91184237873	2.9691313405382156e-06	0.8635586899488437
123251.0	222476.49890504577	230832.7643186635	4.802856368669188e-06	0.9021842673193399
157898.0	208628.97494629628	214875.69115210004	6.04029189414321e-06	0.9426445084776667
202086.00000000003	194811.1057507627	199079.40829548406	6.0989040762957154e-06	0.9711575310502291
258442.0	181348.59094783795	183771.71549844052	5.8651506147859746e-06	0.987587133986873
330317.0	168405.97976406288	169142.74004616676	5.495569421573078e-06	0.9954678438347427
421985.0	156538.02980447828	156406.64687434453	5.118482008854879e-06	0.9986305703522921
538895.0	146700.75812551993	146337.8541134398	4.636303399769074e-06	0.9996563727206362
688000.0	139453.2649390866	139247.8533472813	4.069763988379471e-06	0.9999269084780247
878164.0	135933.95450448417	135987.2349356909	3.47011673205118e-06	0.9999864209886107
1120690.0	138147.05571374655	138167.43335643597	2.718595371652106e-06	0.9999974738573886
1430010.0	149364.0847599203	150376.27191936952	1.777971756106942e-06	0.9999993787928492
1824500.0	161790.27236929798	162423.7459067256	2.405670173349827e-07	0.999999512353072
2327630.0	161790.28284756604	162423.7564260203	2.405670173349827e-07	0.9999996418820649
2969300.0	187724.95922858102	187852.20199500577	9.457107103770664e-35	0.9999996418820649
3787670.0	187724.95922858102	187852.20199500577	9.457107103770664e-35	0.9999996418820649
4831410.0	187724.95922858102	187852.20199500577	9.457107103770664e-35	0.9999996418820649
