time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.8125e-06	3239.6599999999994	35.4488	146.174
1	6.8125e-06	1.5501e-05	3239.6599999999994	35.4488	146.174
2	1.5501e-05	2.6582e-05	3239.6599999999994	73.8809	146.174
3	2.6582e-05	4.07145e-05	1594.1089999999997	96.3435	150.68640000000002
4	4.07145e-05	5.87387e-05	1035.9489999999998	101.137	157.455
5	5.87387e-05	8.17263e-05	636.2714999999998	99.596	147.2706
6	8.17263e-05	0.000111044	423.69320000000005	95.3327	136.20530000000002
7	0.000111044	0.000148435	304.19870000000003	93.9613	126.7004
8	0.000148435	0.000196123	234.05830000000003	98.0103	122.38550000000004
9	0.000196123	0.000256942	198.23980000000003	106.086	123.77799999999998
10	0.000256942	0.000334509	185.3484	117.328	130.2005
11	0.000334509	0.000433437	183.92600000000002	130.586	139.57100000000003
12	0.000433437	0.000559606	188.95099999999996	144.885	150.3805
13	0.000559606	0.000720519	198.15420000000006	159.74	163.2372
14	0.000720519	0.000925743	209.48889999999997	174.76	176.58280000000002
15	0.000925743	0.00118748	221.9776	189.435	188.6195
16	0.00118748	0.00152129	235.16019999999995	203.441	201.46179999999998
17	0.00152129	0.00194703	250.2259	216.723	213.8352
18	0.00194703	0.00249	264.66020000000003	229.337	226.68740000000005
19	0.00249	0.00318249	280.7878	241.05	238.4978
20	0.00318249	0.00406568	295.0965	251.19	248.0076
21	0.00406568	0.00519207	307.64900000000006	258.819	255.55449999999996
22	0.00519207	0.00662864	317.0278	263.095	260.3792
23	0.00662864	0.0084608	322.27700000000004	263.805	262.0668
24	0.0084608	0.0107975	323.2642	261.768	260.96079999999995
25	0.0107975	0.0137776	320.88419999999996	258.414	257.55629999999996
26	0.0137776	0.0175784	315.94169999999997	254.939	254.33460000000002
27	0.0175784	0.0224259	310.866	250.81	251.43380000000005
28	0.0224259	0.0286082	289.7232	250.81	250.17500000000007
29	0.0286082	0.0364929	275.62800000000004	239.7	249.68
30	0.0364929	0.0465489	275.62800000000004	239.7	249.35
31	0.0465489	inf	275.628	239.7	249.35
