left_time_boundary	im_N1	im_N2	m	M
0.0	37540.05091051743	658251.0925645453	1.0270105422598705e-31	0.0
663.2379999999999	37540.05091051743	658251.0925645453	1.0270105422598705e-31	0.0
1509.11	37381.09467179904	772627.6456300799	0.00011128441468574901	0.213458253305009
2587.92	38240.02073304187	497712.609202122	1.0270105422598705e-31	0.213458253305009
3963.8	46250.785086148106	212316.24602666212	5.891614023728657e-34	0.213458253305009
5718.57	113257.58402699235	288657.7129108221	1.5300323607560534e-05	0.2655202174909521
7956.54	256794.4202427882	423167.00346336956	3.3103559318434956e-05	0.3919907234828027
10810.8	429391.4496736715	610068.6432958395	8.011226400001839e-05	0.6606809509381808
14451.0	574996.1353177046	706866.0055259541	1.0270105422598705e-31	0.6606809509381808
19093.699999999997	667025.9169328683	771238.3241652988	1.0270105422598705e-31	0.6606809509381808
25014.8	704188.6458481104	774974.1066934825	1.0270105422598705e-31	0.6606809509381808
32566.5	747971.3696191458	767419.4233126272	9.509427274497772e-05	0.9456634619382529
42197.7	647854.4045807492	652218.9080125985	9.797049987452038e-06	0.9572864292923688
54480.99999999999	537145.8418327287	537615.3541784403	9.921995543492614e-07	0.958593847315695
70146.8	433068.28590081946	433801.4390792732	7.881297357044802e-07	0.9598775456532819
90126.59999999999	354585.4227782481	355957.9526075248	3.6086281941146646e-06	0.9666175491103574
115608.0	294628.71456459543	297375.01728709246	4.9799869030068595e-06	0.9758486289507573
148107.0	248186.51752118143	252032.24335969076	5.620187831792713e-06	0.9848431881160176
189555.0	211827.36869854404	215729.95850493218	5.969371988450438e-06	0.9919364321904632
242415.99999999997	184116.69233297982	186933.3590014015	6.258157381228202e-06	0.9965322058857299
309835.0	166707.57172433066	167913.02305920003	6.28006307573363e-06	0.9988223023799783
395818.00000000006	148632.38316954885	148652.4655846611	6.5480693974545025e-06	0.9997198903970771
505479.0	140045.846659892	139764.16107535458	6.343797362536867e-06	0.9999525004925018
645337.0	137587.45540099175	137176.6895396043	5.693324103931047e-06	0.9999937682317025
823709.0	140946.78442313056	140355.89114968458	4.702540558414953e-06	0.999999266487896
1051200.0	151135.95550221176	150147.1546048619	3.559415165322244e-06	0.9999999070197907
1341340.0	179626.89240497784	179976.02222661377	2.2948929014276477e-06	0.9999999829861413
1711369.9999999998	196106.81731393252	196592.96378415043	3.8058813719475205e-07	0.9999999881205036
2183290.0	196106.81774205682	196592.96421333606	3.8058813719475205e-07	0.9999999924867394
2785180.0	201781.77642487592	202091.5095522245	1.0270105422598705e-31	0.9999999924867394
3552799.9999999995	201781.77642487592	202091.5095522245	1.0270105422598705e-31	0.9999999924867394
4531810.0	201781.77642487592	202091.5095522245	1.0270105422598705e-31	0.9999999924867394
