time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.63238e-06	1341.9000000000003	11.9135	67.80589999999998
1	6.63238e-06	1.50911e-05	1341.9000000000003	11.9135	67.80589999999998
2	1.50911e-05	2.58792e-05	1341.9000000000003	166.286	67.80589999999998
3	2.58792e-05	3.9638e-05	1328.0500000000004	142.064	101.07651999999999
4	3.9638e-05	5.71857e-05	1146.0062000000005	96.4464	234.15899999999996
5	5.71857e-05	7.95654e-05	473.23100000000005	74.3833	163.8654
6	7.95654e-05	0.000108108	211.251	61.2205	110.51897999999998
7	0.000108108	0.00014451	137.9998	56.7771	78.56794000000001
8	0.00014451	0.000190937	92.47316	55.022	63.940000000000005
9	0.000190937	0.000250148	75.84744	53.7798	57.41061
10	0.000250148	0.000325665	68.67801999999999	56.3388	56.695359999999994
11	0.000325665	0.000421977	70.27893999999999	64.0245	61.86212
12	0.000421977	0.00054481	78.07406	76.4594	73.54362
13	0.00054481	0.000701468	91.49121	93.6441	88.21600000000001
14	0.000701468	0.000901266	111.19819999999997	114.923	107.80825000000002
15	0.000901266	0.00115608	132.96359999999999	139.261	129.9802
16	0.00115608	0.00148107	157.42419999999998	165.738	153.99699999999999
17	0.00148107	0.00189555	184.1344	193.688	179.34179999999995
18	0.00189555	0.00242416	212.5855	222.366	205.50860000000006
19	0.00242416	0.00309835	241.80459999999997	250.303	230.50719999999998
20	0.00309835	0.00395818	269.9487	274.905	241.5178
21	0.00395818	0.00505479	293.974	292.614	273.52090000000004
22	0.00505479	0.00645337	310.5636	300.337	284.9456
23	0.00645337	0.00823709	315.2970000000001	297.97	287.8142
24	0.00823709	0.010512	310.244	288.931	284.15740000000005
25	0.010512	0.0134134	300.3846	277.352	279.7958
26	0.0134134	0.0171137	287.9202	265.866	254.17020000000002
27	0.0171137	0.0218329	275.78499999999997	252.787	250.246
28	0.0218329	0.0278518	272.37699999999995	252.787	237.73400000000007
29	0.0278518	0.035528	268.83820000000003	243.774	235.38320000000002
30	0.035528	0.0453181	268.44500000000005	243.774	231.857
31	0.0453181	inf	268.445	243.774	231.857
