left_time_boundary	im_N1	im_N2	m	M
0.0	37400.244034505566	715460.256072564	1.0270105422598705e-31	0.0
665.881	37400.244034505566	715460.256072564	1.0270105422598705e-31	0.0
1515.1299999999999	37434.12652697593	715151.8994277329	1.0270105422598705e-31	0.0
2598.24	38750.33730850954	411231.273409903	1.0270105422598705e-31	0.0
3979.6000000000004	47202.90007794038	216137.16289393368	4.149487787691661e-05	0.13602205065644735
5741.36	121158.79742241636	270073.192068601	3.089733900298743e-05	0.24802626023080332
7988.25	258164.41931001484	381577.1151768829	2.799036835943295e-05	0.3594800908335919
10853.9	505780.8047101829	630863.809413957	7.613181556600121e-05	0.6328383141468505
14508.6	674495.4110975398	781760.6583531087	1.0270105422598705e-31	0.6328383141468505
19169.8	759021.2533884891	829285.57307446	1.0270105422598705e-31	0.6328383141468505
25114.499999999996	745470.4569850527	784077.0672727729	1.0270105422598705e-31	0.6328383141468505
32696.3	746030.4048543011	753303.8330195596	0.00011717352051904015	0.9619164055085531
42365.799999999996	632403.9077726644	633574.8696239154	5.319531193599271e-06	0.9665992120992075
54698.1	517161.4011907573	515006.7772600745	2.340129023835658e-38	0.9665992120992075
70426.4	424732.95917875157	420635.8952095442	6.386771470500525e-07	0.9674441678141368
90485.8	349083.97850570193	349951.62731021363	4.1432443949562946e-06	0.9736633467454141
116069.0	291868.19254533015	294431.4404923512	5.09341184877973e-06	0.9811108828281909
148697.0	247310.2419646401	251098.9025359748	5.663516851654736e-06	0.988210207771426
190310.0	211161.60439282248	215178.3200675052	5.989875087583662e-06	0.9937571749602123
243383.0	182694.23127032336	185424.8376613465	6.2901065341278955e-06	0.9973357677529178
311070.0	162607.1068502748	163612.54231427112	6.46492972998271e-06	0.999127390489249
397396.0	148531.33181729415	148494.48646974878	6.541353134382473e-06	0.9997933330903334
507494.0	140186.21673726648	139885.65149520562	6.319435006413353e-06	0.9999649624118513
647909.0	137672.93667002817	137256.83789951584	5.670804402032525e-06	0.9999954033301169
826992.0	141365.62076047985	140769.41568688423	4.669168620572498e-06	0.9999994553029151
1055390.0	152963.88285115367	152005.60992207497	3.47741213169747e-06	0.9999999281659159
1346680.0	177953.27076617858	178297.35027332522	2.3017858149555596e-06	0.9999999870112165
1718190.0	196246.37062526934	196749.2293096405	3.6763932425214213e-07	0.9999999908321409
2192000.0	196246.37094798096	196749.22963317906	3.6763932425214213e-07	0.9999999941209827
2796280.0	201768.93788508288	202065.93241354925	1.0270105422598705e-31	0.9999999941209827
3566960.0	201768.93788508288	202065.93241354925	1.0270105422598705e-31	0.9999999941209827
4549870.0	201768.93788508288	202065.93241354925	1.0270105422598705e-31	0.9999999941209827
