time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.5863e-06	1102.92	11.2877	59.52350000000001
1	6.5863e-06	1.49863e-05	1102.92	11.2877	59.52350000000001
2	1.49863e-05	2.56994e-05	1102.92	173.143	59.52350000000001
3	2.56994e-05	3.93626e-05	1070.0800000000002	177.087	124.57085000000001
4	3.93626e-05	5.67884e-05	967.1459000000002	111.881	276.34800000000007
5	5.67884e-05	7.90126e-05	336.29900000000004	68.9886	183.76079999999996
6	7.90126e-05	0.000107357	184.5086	51.5333	118.83342000000002
7	0.000107357	0.000143506	106.01812000000001	47.9496	80.32242000000001
8	0.000143506	0.000189611	76.17004	49.136	61.02189999999999
9	0.000189611	0.00024841	63.73810000000001	51.2953	55.67452
10	0.00024841	0.000323402	61.77565999999999	56.4735	56.12005
11	0.000323402	0.000419045	66.65417999999998	65.8419	62.23189
12	0.000419045	0.000541025	77.53224999999999	79.6739	75.03939999999999
13	0.000541025	0.000696595	91.31471999999998	98.0072	90.64161999999997
14	0.000696595	0.000895005	109.95460000000003	120.057	110.89
15	0.000895005	0.00114805	131.6084	144.731	133.1494
16	0.00114805	0.00147078	157.9236	171.066	156.6802
17	0.00147078	0.00188238	183.9024	198.361	181.04219999999998
18	0.00188238	0.00240732	211.04880000000003	225.901	205.80980000000002
19	0.00240732	0.00307682	238.46200000000007	252.331	232.34999999999997
20	0.00307682	0.00393068	264.3495	275.225	254.4416
21	0.00393068	0.00501967	287.5626	291.363	271.804
22	0.00501967	0.00640854	300.7748	298.162	282.38699999999994
23	0.00640854	0.00817987	304.7737	295.847	283.6674
24	0.00817987	0.010439	300.1246	287.716	278.406
25	0.010439	0.0133202	290.5537	277.682	269.5922
26	0.0133202	0.0169948	281.4046	268.465	259.32210000000003
27	0.0169948	0.0216813	273.83449999999993	260.473	250.34980000000002
28	0.0216813	0.0276583	270.8519999999999	260.473	244.92099999999996
29	0.0276583	0.0352812	285.4992	260.723	244.4114
30	0.0352812	0.0450033	289.16100000000006	260.723	243.647
31	0.0450033	inf	289.161	260.723	243.647
