time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.773e-06	2186770.0	1350.29	2555240.0
1	6.773e-06	1.54111e-05	2186770.0	1350.29	2555240.0
2	1.54111e-05	2.64279e-05	2186770.0	10.5036	2555240.0
3	2.64279e-05	4.04784e-05	438969.7280000001	56.4476	1277660.9828499996
4	4.04784e-05	5.83981e-05	2678.5619999999994	91.7355	111.32802999999998
5	5.83981e-05	8.12523e-05	2500.5660000000003	89.1192	375.589
6	8.12523e-05	0.0001104	1286.4342000000001	72.4727	260.9602
7	0.0001104	0.000147574	542.1534	60.4737	163.7695
8	0.000147574	0.000194985	231.95960000000002	55.9207	109.31277999999998
9	0.000194985	0.000255452	130.84904	59.1574	83.40647999999999
10	0.000255452	0.00033257	95.31306000000001	68.6133	76.0903
11	0.00033257	0.000430923	87.49436	82.1418	78.64894
12	0.000430923	0.000556361	90.47836000000001	98.5933	88.90001000000001
13	0.000556361	0.000716341	100.38285	117.504	103.58674000000003
14	0.000716341	0.000920375	115.75399999999999	138.244	123.60499999999998
15	0.000920375	0.00118059	135.25870000000003	159.853	146.1582
16	0.00118059	0.00151247	157.64180000000005	181.65	172.5832
17	0.00151247	0.00193574	182.29290000000003	203.161	197.74659999999997
18	0.00193574	0.00247556	211.7913	223.841	223.2136
19	0.00247556	0.00316404	240.8592	242.836	247.97020000000003
20	0.00316404	0.0040421	273.00079999999997	258.91	272.12919999999997
21	0.0040421	0.00516196	299.84999999999997	270.539	289.0552
22	0.00516196	0.0065902	320.2540000000001	276.337	298.2464
23	0.0065902	0.00841173	330.8865000000001	276.069	298.2069
24	0.00841173	0.0107349	331.025	271.322	289.12980000000005
25	0.0107349	0.0136977	320.93939999999986	264.685	275.256
26	0.0136977	0.0174765	305.26480000000004	258.058	261.603
27	0.0174765	0.0222958	286.2200000000001	249.562	243.79950000000005
28	0.0222958	0.0284423	264.1365	249.562	233.48700000000005
29	0.0284423	0.0362813	242.05299999999997	239.055	209.7254
30	0.0362813	0.046279	242.05299999999997	239.055	203.785
31	0.046279	inf	242.053	239.055	203.785
