time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.91885e-06	103300.0	131.653	1306.0400000000002
1	6.91885e-06	1.5743e-05	103300.0	131.653	1306.0400000000002
2	1.5743e-05	2.6997e-05	103300.0	32.2075	1306.0400000000002
3	2.6997e-05	4.13501e-05	11042.218599999993	88.0572	840.1312
4	4.13501e-05	5.96557e-05	921.9824000000001	105.671	141.268
5	5.96557e-05	8.30021e-05	839.4889999999998	95.8975	118.78500000000001
6	8.30021e-05	0.000112777	579.77	80.2076	102.50230000000002
7	0.000112777	0.000150752	331.4070000000001	68.6124	88.82308
8	0.000150752	0.000199184	202.79819999999998	65.5173	83.17880000000001
9	0.000199184	0.000260953	148.4572	71.0986	84.38985000000001
10	0.000260953	0.000339731	129.3148	82.6684	91.67765000000001
11	0.000339731	0.000440203	127.25499999999998	97.6182	103.13270000000001
12	0.000440203	0.000568342	134.3788	114.458	117.48150000000001
13	0.000568342	0.000731767	145.45659999999998	132.696	135.3976
14	0.000731767	0.000940194	160.83739999999997	151.764	154.10969999999998
15	0.000940194	0.00120602	178.08339999999998	170.86	172.6626
16	0.00120602	0.00154504	196.34009999999998	189.507	189.00859999999994
17	0.00154504	0.00197742	219.3114	207.486	206.30320000000006
18	0.00197742	0.00252887	240.13289999999995	224.572	225.50239999999997
19	0.00252887	0.00323217	262.00079999999997	240.23	240.2954
20	0.00323217	0.00412914	283.83200000000005	253.476	252.98480000000004
21	0.00412914	0.00527312	303.49359999999996	263.023	262.48550000000006
22	0.00527312	0.00673211	318.33889999999997	267.864	267.64639999999997
23	0.00673211	0.00859287	327.1409000000001	267.935	267.9604
24	0.00859287	0.010966	328.01720000000006	264.292	263.8897
25	0.010966	0.0139927	324.20480000000003	258.744	257.39950000000005
26	0.0139927	0.0178528	317.53159999999997	253.077	251.10240000000007
27	0.0178528	0.022776	313.72099999999995	247.279	243.50759999999997
28	0.022776	0.0290548	318.8827999999999	247.279	238.87499999999994
29	0.0290548	0.0370626	322.3239999999999	245.323	230.69159999999994
30	0.0370626	0.0472755	322.3239999999999	245.323	225.23599999999993
31	0.0472755	inf	322.324	245.323	225.236
