time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.773e-06	2186810.0	1348.4	2555230.0
1	6.773e-06	1.54111e-05	2186810.0	1348.4	2555230.0
2	1.54111e-05	2.64279e-05	2186810.0	10.5046	2555230.0
3	2.64279e-05	4.04784e-05	438977.7039999999	56.4583	1277655.9843999997
4	4.04784e-05	5.83981e-05	2678.5499999999997	91.7508	111.32882
5	5.83981e-05	8.12523e-05	2500.558	89.1209	375.5689999999999
6	8.12523e-05	0.0001104	1286.4235	72.4741	260.9634
7	0.0001104	0.000147574	542.163	60.4781	163.77149999999997
8	0.000147574	0.000194985	231.96300000000002	55.9222	109.31208000000002
9	0.000194985	0.000255452	130.84942	59.158	83.40568
10	0.000255452	0.00033257	95.31183	68.6135	76.08996
11	0.00033257	0.000430923	87.49479999999998	82.141	78.64927999999999
12	0.000430923	0.000556361	90.47834	98.5936	88.90023000000002
13	0.000556361	0.000716341	100.3829	117.504	103.58746999999998
14	0.000716341	0.000920375	115.75339999999997	138.244	123.60599999999998
15	0.000920375	0.00118059	135.25840000000002	159.854	146.1583
16	0.00118059	0.00151247	157.64100000000002	181.65	172.5832
17	0.00151247	0.00193574	182.29280000000003	203.162	197.74679999999995
18	0.00193574	0.00247556	211.79040000000003	223.841	223.2143
19	0.00247556	0.00316404	240.8592	242.835	247.97020000000003
20	0.00316404	0.0040421	273.00039999999996	258.911	272.12919999999997
21	0.0040421	0.00516196	299.8495	270.54	289.0552
22	0.00516196	0.0065902	320.2540000000001	276.337	298.2464
23	0.0065902	0.00841173	330.8865000000001	276.069	298.2069
24	0.00841173	0.0107349	331.025	271.322	289.1297
25	0.0107349	0.0136977	320.93939999999986	264.685	275.2553
26	0.0136977	0.0174765	305.26480000000004	258.058	261.603
27	0.0174765	0.0222958	286.2200000000001	249.562	243.79950000000005
28	0.0222958	0.0284423	264.137	249.562	233.48700000000005
29	0.0284423	0.0362813	242.054	239.054	209.72620000000003
30	0.0362813	0.046279	242.054	239.054	203.78600000000003
31	0.046279	inf	242.054	239.054	203.786
