time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.91165e-06	5806.409999999999	17.2251	272.799
1	6.91165e-06	1.57266e-05	5806.409999999999	17.2251	272.799
2	1.57266e-05	2.69689e-05	5806.409999999999	25.5093	272.799
3	2.69689e-05	4.13071e-05	1924.071	52.2911	213.8994
4	4.13071e-05	5.95936e-05	1096.4648000000002	58.2659	122.58332
5	5.95936e-05	8.29157e-05	685.1299999999999	56.5056	95.88319999999997
6	8.29157e-05	0.00011266	411.31910000000005	55.6057	84.41255999999997
7	0.00011266	0.000150595	263.5749	58.7284	81.25180999999998
8	0.000150595	0.000198977	197.3037	65.4795	85.21916000000002
9	0.000198977	0.000260681	169.3338	76.4991	94.36066000000001
10	0.000260681	0.000339378	159.83759999999998	91.2163	106.83315999999999
11	0.000339378	0.000439745	161.312	108.147	121.59740000000002
12	0.000439745	0.000567751	169.28899999999996	126.177	139.2588
13	0.000567751	0.000731005	181.11380000000005	144.687	155.7406
14	0.000731005	0.000939216	195.10040000000006	163.152	173.61019999999994
15	0.000939216	0.00120476	210.10900000000007	181.052	190.75830000000002
16	0.00120476	0.00154343	224.11259999999996	198.115	208.33010000000002
17	0.00154343	0.00197537	241.19999999999996	214.194	223.27339999999998
18	0.00197537	0.00252624	258.53440000000006	229.0	236.97409999999996
19	0.00252624	0.00322881	274.24129999999997	241.969	249.00999999999996
20	0.00322881	0.00412485	288.8494	252.341	258.76750000000004
21	0.00412485	0.00526763	302.122	259.339	265.6198
22	0.00526763	0.00672511	310.5485	262.467	269.29620000000006
23	0.00672511	0.00858394	314.6046	261.956	269.1685
24	0.00858394	0.0109546	314.4214	258.912	266.2794999999999
25	0.0109546	0.0139782	309.93679999999995	254.725	262.2886
26	0.0139782	0.0178343	303.9395	250.312	256.98539999999997
27	0.0178343	0.0227523	299.449	244.014	249.20549999999997
28	0.0227523	0.0290245	302.0685	244.014	244.41599999999997
29	0.0290245	0.037024	304.68799999999993	235.564	232.47049999999996
30	0.037024	0.0472264	304.68799999999993	235.564	227.35099999999994
31	0.0472264	inf	304.688	235.564	227.351
