time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.26333e-06	1423.6699999999998	25.6438	152.548
1	6.26333e-06	1.42514e-05	1423.6699999999998	25.6438	152.548
2	1.42514e-05	2.44392e-05	1423.6699999999998	172.214	152.548
3	2.44392e-05	3.74325e-05	1386.7649999999999	154.861	173.79729999999998
4	3.74325e-05	5.40037e-05	1258.5763999999997	124.76	223.37899999999993
5	5.40037e-05	7.51382e-05	437.02400000000006	88.9094	146.06359999999998
6	7.51382e-05	0.000102093	215.78240000000002	66.1162	106.32426000000004
7	0.000102093	0.000136469	134.9095	56.367	81.73955999999998
8	0.000136469	0.000180313	92.62903000000003	51.796	70.02459999999999
9	0.000180313	0.000236229	76.93132	52.4414	65.41352
10	0.000236229	0.000307544	70.40572	58.128	66.86118
11	0.000307544	0.000398497	73.32013	68.311	75.17084999999999
12	0.000398497	0.000514495	82.38370999999998	83.3323	88.06255000000002
13	0.000514495	0.000662437	97.45119999999999	103.228	106.97228000000001
14	0.000662437	0.000851117	114.85419999999999	127.084	127.22120000000002
15	0.000851117	0.00109176	136.9373	153.55	151.6304
16	0.00109176	0.00139866	163.8413	181.54	177.43439999999998
17	0.00139866	0.00179007	192.78890000000007	210.286	203.98149999999998
18	0.00179007	0.00228928	220.20200000000003	238.879	232.99800000000002
19	0.00228928	0.00292595	247.505	265.853	260.66999999999996
20	0.00292595	0.00373794	273.1346	288.883	282.9516
21	0.00373794	0.00477353	294.6672	304.967	299.67749999999995
22	0.00477353	0.00609429	309.2594	311.765	308.5602
23	0.00609429	0.00777876	314.8116	309.518	309.05379999999997
24	0.00777876	0.00992708	311.252	301.161	302.86379999999997
25	0.00992708	0.012667	302.548	290.158	291.73199999999997
26	0.012667	0.0161614	291.7508	278.696	278.8318
27	0.0161614	0.0206181	277.14979999999997	262.678	263.88019999999995
28	0.0206181	0.026302	271.52099999999996	262.678	250.52699999999993
29	0.026302	0.0335511	260.4202	236.033	229.91819999999996
30	0.0335511	0.0427965	257.645	236.033	216.17899999999995
31	0.0427965	inf	257.645	236.033	216.179
