time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.31726e-06	1335.5299999999997	34.2083	177.14499999999998
1	6.31726e-06	1.43741e-05	1335.5299999999997	34.2083	177.14499999999998
2	1.43741e-05	2.46496e-05	1335.5299999999997	208.737	177.14499999999998
3	2.46496e-05	3.77548e-05	1208.7499999999998	161.809	171.7552
4	3.77548e-05	5.44687e-05	1018.5799999999999	111.674	159.179
5	5.44687e-05	7.57851e-05	316.106	72.7223	100.18976
6	7.57851e-05	0.000102972	173.1572	49.8129	75.50728999999998
7	0.000102972	0.000137644	99.79843000000002	40.3544	63.727749999999986
8	0.000137644	0.000181865	73.06192	37.8339	57.6346
9	0.000181865	0.000238263	62.63620000000002	41.226	55.738479999999996
10	0.000238263	0.000310192	61.59552000000001	48.9868	58.55042000000001
11	0.000310192	0.000401928	67.26736	62.2713	67.0571
12	0.000401928	0.000518925	78.20026	79.0457	82.2568
13	0.000518925	0.00066814	94.85386000000001	100.335	100.23915
14	0.00066814	0.000858446	115.27606000000003	125.415	123.3312
15	0.000858446	0.00110116	138.6265	153.214	148.76459999999997
16	0.00110116	0.0014107	161.82129999999995	182.688	175.7008
17	0.0014107	0.00180549	193.75820000000002	212.885	203.43229999999994
18	0.00180549	0.00230899	221.4508	242.586	233.62099999999995
19	0.00230899	0.00295114	248.60219999999995	270.015	259.8162
20	0.00295114	0.00377012	273.56600000000003	292.704	282.5374
21	0.00377012	0.00481463	293.9944	307.768	300.25700000000006
22	0.00481463	0.00614676	307.3128	313.274	307.8256
23	0.00614676	0.00784573	312.1184	310.032	307.026
24	0.00784573	0.0100126	308.3109	301.409	300.1988
25	0.0100126	0.0127761	300.14599999999996	290.976	290.42170000000004
26	0.0127761	0.0163006	289.76360000000005	280.848	278.3992
27	0.0163006	0.0207956	279.8105	269.722	269.169
28	0.0207956	0.0265285	275.111	269.722	263.478
29	0.0265285	0.03384	274.01269999999994	268.432	271.01520000000005
30	0.03384	0.043165	273.542	268.432	276.0400000000001
31	0.043165	inf	273.542	268.432	276.04
