left_time_boundary	im_N1	im_N2	m	M
0.0	38058.606184150216	235511.22445083485	4.891503990402648e-05	0.05873577168675803
618.74	40572.43933691937	251067.12581540784	4.891503990402648e-05	0.1286670001193223
1407.86	37064.86111701724	259566.74037331698	0.00014076995639640593	0.34366324163441764
2414.29	39208.904054415456	273721.8068513492	1.0270105422598705e-31	0.34366324163441764
3697.8599999999997	44314.01386894939	298824.31085314025	1.0270105422598705e-31	0.34366324163441764
5334.9	109249.80306541067	321692.9919249591	1.7352751554171116e-05	0.389538750693488
7422.73	209693.572567733	385777.8927677875	2.6273886545612825e-05	0.4692494249324226
10085.5	322086.2608786471	469128.7290776602	2.5087443851431065e-05	0.5524007658402597
13481.499999999998	495117.5624733813	585549.279250406	6.501401267910851e-05	0.7451383415624439
17812.7	586903.1866673753	647095.5243888983	1.0270105422598705e-31	0.7451383415624439
23336.5	628882.0126854839	649612.7187975749	1.0270105422598705e-31	0.7451383415624439
30381.499999999996	649818.1696693316	645896.9211541599	7.270451305531987e-05	0.9309921143804807
39366.5	576974.8785761673	561458.859429024	1.533377184883421e-05	0.9514403859454685
50825.8	485274.8215275065	470164.0367158214	4.4205280393347525e-06	0.9573263372490601
65440.59999999999	401527.11278678034	387174.02793809044	1.936918373610954e-06	0.9602990019469508
84079.90000000001	330778.0875745182	322475.5044709842	4.1641505292212495e-06	0.9674298859275151
107851.99999999999	274073.3161938438	272464.2376654977	5.57036585860525e-06	0.97676568182289
138170.0	232318.67829128943	234253.00149653314	6.198518200272553e-06	0.985613730986282
176837.0	199013.7534815692	202428.8212571297	6.470698433124923e-06	0.9924006005494951
226152.0	173993.8279491893	176712.6557776268	6.6951154075491985e-06	0.9967263988195105
289047.0	156112.01649689945	157199.2079235443	6.8197462381781525e-06	0.9989038557789773
369262.0	143704.7534786997	143694.88892302275	6.835326071495477e-06	0.999729301590474
471565.0	136303.3744601848	136015.63113288808	6.565176932698065e-06	0.9999511961467272
602041.0	133759.90143277502	133345.24810443295	5.907092919873666e-06	0.9999931661958864
768445.0	136360.71972661864	135786.5369819464	4.927728110887975e-06	0.9999991561008426
980672.9999999999	145981.99816280874	145063.9603564396	3.7630353996433495e-06	0.9999998899456868
1251340.0	170509.10613662322	170704.85161470558	2.6301025656419132e-06	0.9999999820946672
1596550.0	192366.44220252926	192770.23142170242	4.3684107035125154e-07	0.9999999878120069
2036810.0	192366.44265705708	192770.23187718433	4.3684107035125154e-07	0.9999999925376526
2598320.0	201545.29624388868	201893.48624821927	1.8004164311874344e-09	0.9999999925568704
3314439.9999999995	201545.29624635138	201893.48625068626	1.8004164311874344e-09	0.9999999925813088
4227770.0	201545.29627972675	201893.48628411928	1.8004164311874344e-09	0.9999999929125035
