time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.4119e-06	1380.3400000000001	6.64502	2040.68
1	5.4119e-06	1.23141e-05	1380.3400000000001	6.64502	2040.68
2	1.23141e-05	2.11169e-05	1380.3400000000001	559.777	3719.4620000000004
3	2.11169e-05	3.23439e-05	1358.512	1542.46	7402.757000000001
4	3.23439e-05	4.66624e-05	1162.06	1641.15	5297.99
5	4.66624e-05	6.49239e-05	670.1483000000001	1057.0	3134.7499999999995
6	6.49239e-05	8.82141e-05	358.06900000000013	559.823	1776.5799999999995
7	8.82141e-05	0.000117918	188.29599999999996	297.86	1007.3000000000001
8	0.000117918	0.000155801	113.73344999999999	178.857	598.428
9	0.000155801	0.000204116	86.45849999999997	127.406	379.41249999999997
10	0.000204116	0.000265736	76.64209999999999	107.379	274.78560000000004
11	0.000265736	0.000344325	76.3907	103.61	226.78429999999997
12	0.000344325	0.000444555	83.74268	109.868	208.3354
13	0.000444555	0.000572385	94.79016999999997	122.612	206.24699999999999
14	0.000572385	0.000735416	111.00459999999998	139.666	213.58579999999998
15	0.000735416	0.000943342	130.2049	159.779	227.06759999999997
16	0.000943342	0.00120852	151.3548	182.233	245.403
17	0.00120852	0.00154673	173.7225	206.453	268.0368000000001
18	0.00154673	0.00197807	196.78619999999998	231.775	297.2939999999999
19	0.00197807	0.00252819	219.9842	257.318	330.6758999999999
20	0.00252819	0.0032298	242.47540000000004	281.735	363.4742
21	0.0032298	0.00412461	262.97010000000006	302.969	396.013
22	0.00412461	0.00526583	281.74179999999996	318.468	424.15379999999993
23	0.00526583	0.00672131	291.3243	326.447	444.5710000000001
24	0.00672131	0.00857759	294.6704	327.319	449.83959999999985
25	0.00857759	0.010945	292.8255	323.077	435.54200000000003
26	0.010945	0.0139644	286.9838	315.474	395.72600000000006
27	0.0139644	0.0178153	279.777	299.767	330.2511999999999
28	0.0178153	0.0227265	270.6877	299.767	232.03900000000002
29	0.0227265	0.0289902	270.8894	276.461	232.03900000000002
30	0.0289902	0.0369787	280.4239999999999	276.461	232.03900000000002
31	0.0369787	inf	280.424	276.461	232.039
