time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.45873e-06	1591.4000000000003	17.7837	2275.4299999999994
1	5.45873e-06	1.24207e-05	1591.4000000000003	17.7837	2275.4299999999994
2	1.24207e-05	2.12997e-05	1591.4000000000003	808.497	3208.4399999999996
3	2.12997e-05	3.26238e-05	1544.0420000000001	1724.06	6940.479999999999
4	3.26238e-05	4.70662e-05	1117.8200000000002	1591.4	4350.100000000001
5	4.70662e-05	6.54857e-05	639.5443000000001	963.123	2668.6210000000005
6	6.54857e-05	8.89775e-05	344.66220000000015	506.54	1510.4379999999999
7	8.89775e-05	0.000118938	192.49859999999998	276.919	872.7232000000001
8	0.000118938	0.000157149	120.30873000000003	174.192	535.7859000000001
9	0.000157149	0.000205883	92.46908	128.463	362.19759999999997
10	0.000205883	0.000268036	82.75722999999998	109.563	265.169
11	0.000268036	0.000347305	81.11862000000002	105.843	223.16450000000006
12	0.000347305	0.000448402	86.27676999999998	111.864	206.756
13	0.000448402	0.000577338	98.55204	124.372	204.93619999999996
14	0.000577338	0.000741781	115.1717	141.142	211.90759999999997
15	0.000741781	0.000951506	134.4012	160.884	224.86049999999994
16	0.000951506	0.00121898	153.30220000000003	182.849	244.31939999999997
17	0.00121898	0.00156012	175.14149999999998	206.464	266.447
18	0.00156012	0.00199519	197.65580000000003	231.106	292.2571
19	0.00199519	0.00255007	220.32510000000002	255.91	324.1275
20	0.00255007	0.00325775	244.28129999999996	279.486	355.43760000000003
21	0.00325775	0.00416031	265.595	299.821	388.70640000000003
22	0.00416031	0.0053114	280.8554	314.636	414.27600000000007
23	0.0053114	0.00677948	290.5982	322.439	430.8498
24	0.00677948	0.00865182	294.4295	323.506	435.14759999999995
25	0.00865182	0.0110398	292.7884	319.488	424.0217999999999
26	0.0110398	0.0140853	287.8771	312.136	366.57500000000005
27	0.0140853	0.0179694	281.0526	296.803	329.60940000000005
28	0.0179694	0.0229232	270.24769999999995	296.803	181.747
29	0.0229232	0.0292411	260.109	251.546	181.747
30	0.0292411	0.0372988	223.77299999999994	251.546	181.747
31	0.0372988	inf	223.773	251.546	181.747
