time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.08921e-06	61.198100000000004	91.3015	149.132
1	6.08921e-06	1.38552e-05	61.198100000000004	91.3015	149.132
2	1.38552e-05	2.37598e-05	61.198100000000004	381.3	149.132
3	2.37598e-05	3.63918e-05	79.56779	272.216	163.3625
4	3.63918e-05	5.25023e-05	244.89499999999995	209.287	196.567
5	5.25023e-05	7.30493e-05	185.60290000000003	166.27	160.159
6	7.30493e-05	9.92543e-05	134.99	126.782	124.66839999999999
7	9.92543e-05	0.000132675	91.94242000000001	94.8884	95.78883999999996
8	0.000132675	0.0001753	69.78	75.9802	74.42126
9	0.0001753	0.000229662	58.89414999999999	67.3676	67.04855
10	0.000229662	0.000298994	57.33349	67.1717	66.46185
11	0.000298994	0.000387418	62.82886	74.7577	71.86952000000001
12	0.000387418	0.000500192	73.19909999999999	88.719	84.35444000000001
13	0.000500192	0.00064402	89.30848000000002	107.761	100.28259999999997
14	0.00064402	0.000827456	109.18939999999998	130.818	121.53900000000003
15	0.000827456	0.0010614	129.5227	156.639	145.5272
16	0.0010614	0.00135977	153.60620000000003	184.166	171.38829999999996
17	0.00135977	0.00174031	178.796	212.598	198.40579999999997
18	0.00174031	0.00222563	204.4448	241.094	225.87450000000007
19	0.00222563	0.0028446	229.6617	268.327	255.10720000000006
20	0.0028446	0.00363402	253.05420000000004	292.071	279.22120000000007
21	0.00363402	0.00464082	273.68049999999994	309.283	298.09810000000004
22	0.00464082	0.00592486	286.4662	317.306	309.5715
23	0.00592486	0.0075625	289.28560000000004	315.937	310.8032
24	0.0075625	0.0096511	284.302	307.931	304.8042
25	0.0096511	0.0123148	275.345	296.847	294.7604
26	0.0123148	0.0157121	264.71770000000004	284.867	282.38980000000004
27	0.0157121	0.0200449	253.86280000000002	267.208	268.9954
28	0.0200449	0.0255708	241.6213	267.208	256.513
29	0.0255708	0.0326184	240.9992	233.097	240.0046
30	0.0326184	0.0416067	243.07600000000005	233.097	215.24200000000005
31	0.0416067	inf	243.076	233.097	215.242
