left_time_boundary	im_N1	im_N2	m	M
0.0	586885.2648883322	336363.8665589679	0.00041334569788798744	0.4108298938601569
639.949	707149.6098709465	405291.4449251256	0.00041334569788798744	0.6999367145932804
1456.1200000000001	459127.2664624396	235538.27368061183	0.0006903335711065947	0.9287057588109788
2497.05	417089.75871455425	273481.30002780777	8.310411643602591e-05	0.9428223840811052
3824.62	270352.7106136421	335685.1153273685	9.737288002948574e-27	0.9428223840811052
5517.759999999999	428735.50660489517	459610.08907325834	0.00027414695801731556	0.982500424746231
7677.16	641950.3111799198	650702.404955096	4.05500885891621e-05	0.9860032735473183
10431.199999999999	891296.3192921523	883079.093702932	7.720610339544217e-33	0.9860032735473183
13943.6	1091289.5648306392	1076540.6835273067	7.720610339544217e-33	0.9860032735473183
18423.2	1143228.8133348126	1129461.434860795	7.720610339544217e-33	0.9860032735473183
24136.5	1048967.322836469	1035683.6356810982	7.720610339544217e-33	0.9860032735473183
31422.9	868804.1446788793	858487.6526623757	7.720610339544217e-33	0.9860032735473183
40715.899999999994	694286.5055740005	681776.5148239086	1.5465160523792402e-37	0.9860032735473183
52567.9	548077.0281456679	538722.8411896703	2.4208623928752996e-06	0.9869910584320083
67683.7	432410.49105785904	425753.52814752137	4.66884388284926e-06	0.9891341687092583
86961.9	350300.7908205452	346387.29601414636	6.155116379418401e-06	0.9919718814507285
111549.0	286806.41257477726	287026.6820713086	6.8644194612686095e-06	0.994780221355613
142906.0	239121.56560788766	242916.80972374778	7.132582777268686e-06	0.9970495779447841
182899.0	203348.4230120779	208925.6357178432	7.216858808932111e-06	0.998586941558692
233904.0	176577.553628547	181604.26922402522	7.3021962245806885e-06	0.9994535289086816
298955.0	158743.4793512687	161215.54368917146	7.2924799159914675e-06	0.999837048143081
381919.0	147197.59570989752	147439.41830077572	7.2128485196372645e-06	0.9999645872545206
487729.0	141226.39491250718	140819.24738599817	6.818023041153357e-06	0.9999943767226606
622677.0	140706.04622578295	140145.85524196035	5.98891801300816e-06	0.999999284351928
794784.9999999999	145461.15935794453	144618.54072361664	4.9145359078443555e-06	0.9999999172637268
1014290.0	157895.56836415647	156537.33511573882	3.714228940107779e-06	0.9999999896595713
1294240.0	178877.3929048541	178762.92132094293	2.559536943813106e-06	0.9999999983373739
1651270.0000000002	196334.2242896869	196628.2612710371	5.029396898198435e-07	0.9999999989483491
2106630.0	196334.22433536212	196628.26131678073	5.029396898198435e-07	0.9999999994136294
2687380.0	201803.0321067645	202194.77225855284	2.1411759759071535e-09	0.9999999994154863
3428050.0	201803.03210700263	202194.7722587914	2.1411759759071535e-09	0.999999999417846
4372680.0	201803.0321102114	202194.77226200645	2.1411759759071535e-09	0.9999999994496476
