time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.82703e-06	54.9353	17.8003	172.59700000000007
1	5.82703e-06	1.32587e-05	54.9353	17.8003	172.59700000000007
2	1.32587e-05	2.27368e-05	54.9353	184.794	172.59700000000007
3	2.27368e-05	3.48249e-05	80.84297	249.887	212.71330000000003
4	3.48249e-05	5.02418e-05	314.012	243.667	306.318
5	5.02418e-05	6.99041e-05	270.28649999999993	209.792	191.3556
6	6.99041e-05	9.49808e-05	193.86650000000003	169.474	147.9706
7	9.49808e-05	0.000126963	123.99078999999999	129.705	115.38950000000001
8	0.000126963	0.000167752	92.32946	102.376	98.24932000000003
9	0.000167752	0.000219774	78.55959999999999	87.5918	88.85107000000002
10	0.000219774	0.00028612	70.02932999999999	81.7281	83.95828
11	0.00028612	0.000370737	70.64968999999999	84.9051	85.62739999999998
12	0.000370737	0.000478656	79.68723999999999	95.9816	94.26597999999997
13	0.000478656	0.000616291	92.90659999999998	113.107	109.857
14	0.000616291	0.000791829	111.33700000000002	134.867	127.67849999999999
15	0.000791829	0.0010157	132.4746	159.775	149.97999999999996
16	0.0010157	0.00130123	155.5955	186.571	174.2089
17	0.00130123	0.00166538	180.24879999999996	214.415	199.88379999999998
18	0.00166538	0.00212981	205.9038	242.634	226.70979999999992
19	0.00212981	0.00272212	231.71240000000006	270.184	256.4241
20	0.00272212	0.00347755	256.35909999999996	295.07	284.64300000000003
21	0.00347755	0.004441	279.2833	314.249	306.3966
22	0.004441	0.00566976	294.32529999999997	324.624	321.66850000000005
23	0.00566976	0.00723689	299.6786	325.321	330.1184
24	0.00723689	0.00923556	297.43550000000005	318.64	313.5819000000001
25	0.00923556	0.0117846	290.0564	307.919	293.11379999999997
26	0.0117846	0.0150356	280.1172	295.431	292.5647
27	0.0150356	0.0191818	268.18919999999997	276.351	277.5762
28	0.0191818	0.0244698	254.13000000000005	276.351	263.425
29	0.0244698	0.031214	252.8032	250.722	262.11749999999995
30	0.031214	0.0398153	247.49599999999998	250.722	260.80999999999995
31	0.0398153	inf	247.496	250.722	260.81
